id,sex,age,place,tenure,height,weight,bmi,income,high.bmi
1,male,60,rural,rent,168.825834460966,108.090786183246,37.9237142560196,7819.78506037387,TRUE
2,female,24,urban,homeless,171.679666064967,53.684760329028,18.2143341162208,4857.47754030894,FALSE
3,male,32,urban,rent,170.54608806067,91.749877651962,31.5443780897961,6685.41831886937,TRUE
4,female,43,urban,own_house,181.945534511358,55.6323747543561,16.8052429957679,4706.75147521045,FALSE
5,male,70,urban,rent,154.495035842042,100.150350497319,41.9588343497105,6874.05276528883,TRUE
6,male,38,urban,irregular,175.896705043827,105.177844336812,33.9945156016116,4476.16516482265,TRUE
7,male,57,urban,own_appartment,180.438512091985,91.7277687033225,28.1736006853093,6562.62690291601,TRUE
8,male,80,rural,irregular,171.007733535068,74.2540222853427,25.3915072714526,4571.82902914604,FALSE
9,female,82,urban,rent,188.865666368321,60.0948347204817,16.8473312301179,4121.45582496566,FALSE
10,male,50,urban,rent,168.678895854995,87.8046303459057,30.8599998641018,7227.49824952707,TRUE
11,female,59,urban,own_house,182.79255137594,63.8429228484515,19.1071438073207,5953.51718208476,FALSE
12,male,43,urban,homeless,170.952419996379,105.269649282665,36.0207432655292,7321.02177245948,TRUE
13,female,57,urban,rent,187.385233308997,57.736681620259,16.4430013282155,4785.95642952022,FALSE
14,male,33,rural,rent,164.942048909002,87.1130947543042,32.0199517018918,5780.87483256469,TRUE
15,female,70,urban,rent,171.289677362156,68.7253363070823,23.4236457355852,4645.71351230053,FALSE
16,female,52,urban,rent,182.525365671216,60.7283175041054,18.2282423772594,4458.14246042909,FALSE
17,male,40,urban,rent,158.331361922629,97.1456280723019,38.7515756306886,7755.75663173199,TRUE
18,female,29,rural,rent,165.322970015914,64.9472095025863,23.7626077181034,4183.99493115015,FALSE
19,female,36,rural,rent,178.217499938348,59.1813729661626,18.6330668553201,4039.2116365313,FALSE
20,female,21,rural,own_house,191.656623085725,63.99014199515,17.4206923157896,5193.80854982907,FALSE
21,male,73,rural,own_appartment,147.372504511442,82.4462029737106,37.9610075519599,7467.34645032342,TRUE
22,male,40,urban,rent,150.222891469981,86.7016352418032,38.4197960113967,6468.7830620189,TRUE
23,female,83,urban,own_appartment,181.656430903358,57.2737235552505,17.3561687770221,4318.7997846239,FALSE
24,male,73,urban,rent,138.180648193259,93.9491168239089,49.2037553744131,9545.98132012774,TRUE
25,male,30,urban,rent,154.547998817981,78.0594947810384,32.6812729574499,6544.10456643913,TRUE
26,male,76,urban,rent,162.043841980907,71.3922031328114,27.1885296217659,6384.69014197432,TRUE
27,male,74,urban,own_house,164.619706917729,67.0446377472085,24.7400401586613,5295.60244815204,FALSE
28,female,66,rural,rent,177.629125898549,64.6094029126104,20.4770490312485,4146.83311661775,FALSE
29,female,42,rural,own_house,173.99783286998,59.6865431111666,19.7146353227982,5077.20761252404,FALSE
30,male,37,urban,rent,154.304904050947,76.0335434818312,31.9334450143656,7673.45995271582,TRUE
31,female,68,urban,rent,192.210675390855,86.158274824694,23.3207216241926,5948.41948426904,FALSE
32,male,33,urban,rent,160.561675549604,73.9346929784454,28.6790321319066,7494.21201108389,TRUE
33,male,80,urban,irregular,172.35276862139,78.2580541570784,26.3446550777173,4421.45704344602,TRUE
34,male,46,urban,rent,165.290530503703,83.0265934773969,30.3893402996388,5778.80392055642,TRUE
35,male,62,rural,own_house,171.269513832939,82.8404885110082,28.2411593555382,6330.36934370656,TRUE
36,female,79,rural,own_appartment,199.610729971537,64.0703035985123,16.0801100325876,4153.50716924675,FALSE
37,female,25,urban,own_appartment,164.173498603606,46.5606818682384,17.2748078460524,4635.17341602244,FALSE
38,female,80,rural,homeless,173.288248036677,52.5406656831607,17.4967484882251,3755.40435461085,FALSE
39,female,72,urban,rent,158.197658199942,68.7900103855797,27.486869106545,4855.65415916841,TRUE
40,female,38,rural,rent,176.02073117141,65.562684198526,21.1606539165901,5736.98827874348,FALSE
41,male,33,rural,rent,158.72183306812,81.3932146962886,32.3083560785881,7847.81026371696,TRUE
42,female,55,rural,rent,191.33996454329,93.7970854191639,25.6199315655197,4727.45847439627,TRUE
43,male,61,urban,own_appartment,164.400077916804,94.8396483010473,35.0902042978942,7050.5305978653,TRUE
44,female,33,rural,own_appartment,172.353858281883,60.0706292732665,20.2218163389682,4766.41291526422,FALSE
45,female,35,urban,own_appartment,178.327977262746,62.5835017019383,19.6798096001252,5033.98978754305,FALSE
46,male,29,urban,irregular,156.164624207088,81.2483251434629,33.3157117800366,5151.51617547051,TRUE
47,female,55,urban,rent,182.502698604547,104.203671111736,31.2855963931482,6809.68160545922,TRUE
48,female,77,rural,own_house,176.922272491614,65.2030188444398,20.8306434599169,5077.73826934649,FALSE
49,male,32,rural,own_appartment,164.334932674072,75.6301646862961,28.0049797932348,6275.99341008489,TRUE
50,male,48,rural,own_house,163.610597946812,62.4547850517415,23.3315103936996,6965.44852305137,FALSE
51,female,44,rural,own_appartment,186.717598633721,51.77250474547,14.8500757844274,4120.49652440163,FALSE
52,male,43,urban,own_house,176.196074344547,109.639740186253,35.3163279899752,7665.7533329616,TRUE
